Bacteria name,Adultfemalehornfly-A,Adultfemalehornfly-B,Adultfemalehornfly-C,Female Avg,Adultmalehornfly-A,Adultmalehornfly-B,Adultmalehornfly-C,Male Avg,Hornflyeggs-A,Hornflyeggs-B,Hornflyeggs-C,Egg Avg
Streptococcus iniae,0,0,0,0,0,0,0,0,0.020084354,0,0.022311468,0.014131941
Patulibacter sp,0,0,0,0,0.207296849,0.062519537,0,0.089938795,0.050210886,0,0.033467202,0.027892696
Comamonas sp,0,0,0,0,0,0,0,0,0,0.020155195,0,0.006718398
Actinoalloteichus sp,0,0,0,0,0.020729685,0,0,0.006909895,0,0,0,0
Bulleidia sp,0,0,0,0,0.186567164,0,0,0.062189055,0.020084354,0,0.011155734,0.010413363
Parapedobacter sp,0,0.05407354,0,0.018024513,0,0,0,0,0,0,0,0
Centipeda sp,0,0,0,0,0,0,0.079145231,0.026381744,0,0,0,0
Streptococcus gordonii,0,0,0,0,0,0,0.633161852,0.211053951,0,0,0,0
Arcobacter sp,0,0.08111031,0,0.02703677,0,0,0.039572616,0.013190872,0.030126531,0.010077598,0.022311468,0.020838532
Lysobacter sp,0,0,0,0,0.248756219,0,1.226751088,0.491835769,0.050210886,0,0.011155734,0.02045554
Mycobacterium rhodesiae,0,0,0,0,0.020729685,0,0,0.006909895,0,0,0,0
Sporobacter sp,0,0,0,0,0.04145937,0,0,0.01381979,0.050210886,0.08062078,0.011155734,0.047329133
Propionivibrio sp,0,1.739365537,0,0.579788512,0,0,0,0,0,0,0,0
Acetivibrio sp,0,0,0,0,0,0,0,0,0,0,0.011155734,0.003718578
Brevundimonas sp,0.013255567,0,0,0.004418522,0,0,0,0,0,0,0,0
Acinetobacter sp,0.318133616,0,4.325048733,1.54772745,0.04145937,0,0.079145231,0.040201534,0.441855794,0.342638315,0.457385096,0.413959735
Neisseria sp,0,0.018024513,0,0.006008171,0,0,0.039572616,0.013190872,0,0,0,0
Pelagicoccus sp,0,0,0,0,0.020729685,0,0,0.006909895,0,0,0,0
Amycolatopsis sp,0,0,0,0,0,0,0,0,0,0.010077598,0,0.003359199
Mycobacterium holsaticum,0,0,0,0,0.103648425,0,0,0.034549475,0,0,0,0
Staphylococcus kloosii,0,0,0,0,0.062189055,0,0,0.020729685,0.040168709,0.070543183,0.05577867,0.055496854
Bacillus odysseyi,0,0,0,0,0,0,0,0,0,0,0.011155734,0.003718578
Streptomyces mashuensis,0,0,0,0,0,0,0,0,0.030126531,0,0.022311468,0.017479333
Methylophaga sp,0,0,0,0,0.062189055,0,0,0.020729685,0,0,0,0
Methylomonas sp,0,0,0,0,0,0,0,0,0,0,0.011155734,0.003718578
Novosphingobium sp,0.159066808,0,0,0.053022269,0,0.437636761,0,0.14587892,0,0,0,0
Streptacidiphilus sp,0,0,0,0,0,0,0.039572616,0.013190872,0,0,0,0
Oscillochloris sp,0,0,0,0,0,0.031259769,0,0.010419923,0,0,0,0
Terrimonas sp,0,0,0,0,0.062189055,0.062519537,0,0.041569531,0,0,0,0
Actinomadura sp,0,0,0,0,0.04145937,0,0,0.01381979,0,0,0,0
Shigella sp,0.013255567,0,0,0.004418522,0,0,0,0,0,0.020155195,0.011155734,0.010436976
Alkalibacterium sp,0,0,0,0,0,0,0,0,0,0.020155195,0,0.006718398
Atopostipes suicloacalis,0,0,0,0,0,0,0,0,0.010042177,0,0.033467202,0.014503126
Escherichia coli,0,0,0,0,0,0,0,0,0.030126531,0.100775975,0,0.043634169
Mogibacterium sp,0,0,0,0,0.621890547,0.031259769,0,0.217716772,0.010042177,0.211629548,0.05577867,0.092483465
Peptostreptococcus sp,0,0,0,0,0,0,0,0,0.050210886,0,0,0.016736962
Micromonospora sp,0,0,0,0,0,0,0,0,0,0,0.022311468,0.007437156
Mycobacterium conceptionense,0,0,0,0,0,0.031259769,0,0.010419923,0,0,0,0
Amaricoccus sp,0,0,0,0,0,0,0,0,0,0,0.022311468,0.007437156
Cellvibrio sp,0,0,0,0,0,0.093779306,0,0.031259769,0.020084354,0,0,0.006694785
Ruminococcus sp,0,0,0,0,0.207296849,0,3.601108033,1.269468294,0.040168709,0.171319158,0.011155734,0.074214533
Brevibacterium sp,0,0,0,0,0,0.312597687,0,0.104199229,0.010042177,0.060465585,0.05577867,0.042095477
Eubacterium sp,0,0,0,0,0.062189055,0,0,0.020729685,0,0.020155195,0.011155734,0.010436976
Fluviicola sp,0,0.099134823,0,0.033044941,0,0,0,0,0,0,0.022311468,0.007437156
Hallella sp,0,0,0,0,0.145107794,0,0.27700831,0.140705368,0,0.030232793,0,0.010077598
Chryseobacterium sp,0.026511135,0,1.571637427,0.532716187,0.020729685,0.156298843,0,0.059009509,0,0,0,0
Tolumonas sp,0,0.414563807,0,0.138187936,0,0,0,0,0,0,0,0
Thermobifida sp,0,0,0,0,0,0,0,0,0.040168709,0,0.022311468,0.020826726
Tsukamurella sp,0,0,0,0,0.062189055,0,0,0.020729685,0,0.010077598,0.011155734,0.007077777
Trichococcus sp,0,0,0,0,0,0,0,0,0,0,0.066934404,0.022311468
Duganella sp,0.278366914,0,0,0.092788971,0,0,0,0,0,0,0,0
Enterococcus sulfureus,0,0,0,0,0,0,0,0,0,0.070543183,0,0.023514394
Leifsonia sp,0,0,0,0,0,0,0.474871389,0.158290463,0.050210886,0,0.022311468,0.024174118
Anabaena sp,0,0,0,0,0,0,0,0,0,0.060465585,0,0.020155195
Roseiflexus sp,0.304878049,0,0,0.101626016,0,0,0.079145231,0.026381744,0,0,0,0
