"Data include samples collected between October 1, 2013 - September 30, 2017",,,,,,,,,,,
"Data Extracted January 3, 2018",,,,,,,,,,,
EstablishmentId,EstablishmentNumber,EstablishmentName,State,ProjectCode,ProjectName,FormId,CollectionDate,SampleSource,EColiO157H7Analysis,SalmonellaSpAnalysis,NonO157STECAnalysis
4345,M13445+P13445+V13445,Huse's Processing Inc.                                                                              ,TX,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100603149,10/1/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4189,M2239,"L & H Packing Co., Braun Division                                                                   ",TX,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100575969,10/1/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4830,M969+V969,Swift Beef Company                                                                                  ,CO,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100603653,10/1/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
3583,M2316+P2316+V2316,Whisnant Meat Packing LLC                                                                           ,MO,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100595216,10/1/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
187,M12601,Bartow Meats                                                                                        ,GA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100588058,10/2/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
13000,M34741,"American Beef Packers, Inc.                                                                         ",CA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100603118,10/2/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4163,M1429+P1429+P7176,Plains Meat Co. LTD                                                                                 ,TX,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100604146,10/2/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
7879,M21442+P21442,Kased Brothers' Halal Meats                                                                         ,MS,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100604117,10/2/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4163,M1429+P1429+P7176,Plains Meat Co. LTD                                                                                 ,TX,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100605402,10/3/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
187,M12601,Bartow Meats                                                                                        ,GA,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100588063,10/3/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
5633,M1913+P18057,American Meat Company                                                                               ,CA,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100602501,10/3/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
6437,M2069+P712,CTI                                                                                                 ,PA,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100604869,10/3/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
7,M96,Central Beef Ind. LLC                                                                               ,FL,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100602714,10/3/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
7,M96,Central Beef Ind. LLC                                                                               ,FL,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100606867,10/4/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
6437,M2069+P712,CTI                                                                                                 ,PA,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100606344,10/4/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
4189,M2239,"L & H Packing Co., Braun Division                                                                   ",TX,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100594733,10/4/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
4163,M1429+P1429+P7176,Plains Meat Co. LTD                                                                                 ,TX,MT44,Follow-up Risk-based E.coli O157:H7 Sampling of Positive Raw Ground Beef or Veal Sample,100606645,10/4/2013,"Product-Raw-Ground, Comminuted or Otherwise Nonintact-Beef",Negative,NULL,NULL
124146,M45097+P45097+V45097,"Kleoppel Meats, LLC DBA Alma's Farm Fresh Meats                                                     ",MO,MT53,Ecoli Follow-up Sampling of Beef Mfg Trim or Other Raw Ground Beef or Beef Patty Components,100606037,10/4/2013,Product-Raw-Intact-Beef,Negative,NULL,Negative
